rmse,nse,rmse_top10,rmse_bot10,rmse_logged,mean_bias,mean_bias_top10,mean_bias_bot10,nse_top10,nse_bot10,nse_logged,kge,variable,partition,rep_id,model,fold_id,nlayer,nstates
1.739524,0.524347,1.864497,2.226995,inf,0.262673,-0.895401,1.701788,-9.534005,-6.399153,,0.755638,DO_mg.L,val,0,rnn,2,1,200
0.518575,0.972214,0.484341,0.656882,inf,0.009918,-0.232513,0.152016,0.586003,-0.753726,,0.970293,DO_mg.L,train,0,rnn,2,2,200
1.674022,0.559494,1.487697,2.109481,inf,0.352555,-0.553464,1.600663,-5.706555,-5.638881,,0.78065,DO_mg.L,val,0,rnn,2,2,200
0.503354,0.970541,0.472255,0.601926,inf,0.144585,0.148704,0.163163,0.611155,-0.242492,,0.969233,DO_mg.L,train,0,rnn,3,1,200
1.956686,0.629343,2.496477,1.421655,inf,-0.052247,-1.938477,0.422053,-10.022758,-3.794754,,0.810054,DO_mg.L,val,0,rnn,3,1,200
0.478274,0.973404,0.466503,0.579523,inf,0.001361,-0.272948,0.149621,0.620569,-0.151726,,0.966703,DO_mg.L,train,0,rnn,3,2,200
1.993147,0.6154,2.271394,1.499181,inf,-0.256748,-1.900831,0.541059,-8.124737,-4.331945,,0.794294,DO_mg.L,val,0,rnn,3,2,200
0.516822,0.971246,0.505074,0.577144,inf,0.019281,-0.186076,0.160843,0.498281,-0.541298,,0.978252,DO_mg.L,train,0,rnn,4,1,200
1.76425,0.58534,1.937909,1.867521,inf,-0.128078,-1.574309,1.097151,-3.519101,-5.768814,,0.782563,DO_mg.L,val,0,rnn,4,1,200
0.46477,0.976746,0.429274,0.621782,inf,0.138469,0.015973,0.295024,0.637573,-0.788935,,0.973153,DO_mg.L,train,0,rnn,4,2,200
2.181672,0.36591,1.777134,2.293554,inf,0.484462,-1.295768,1.577034,-2.800369,-9.209383,,0.696863,DO_mg.L,val,0,rnn,4,2,200
0.485058,0.972178,0.482012,0.611794,inf,-0.038035,-0.260289,0.176004,0.598374,0.331553,,0.973561,DO_mg.L,train,0,rnn,5,1,200
1.766413,0.705955,1.498585,1.830692,inf,0.276519,-1.285177,1.086356,-3.761278,-4410182.99196,,0.845716,DO_mg.L,val,0,rnn,5,1,200
0.469748,0.973906,0.539533,0.565035,inf,-0.114416,-0.362332,0.181998,0.496799,0.429826,,0.954534,DO_mg.L,train,0,rnn,5,2,200
1.72399,0.71991,1.569662,1.808919,inf,0.235662,-1.396787,1.091231,-4.223633,-4305903.687096,,0.833169,DO_mg.L,val,0,rnn,5,2,200
0.49175,0.970987,0.535352,0.571591,inf,0.017675,-0.091434,0.051802,0.50325,0.466167,,0.984943,DO_mg.L,train,0,rnn,6,1,200
1.943712,0.615316,1.679956,2.28276,inf,0.574663,-1.104373,1.521434,-5.398503,-8569.296649,,0.752376,DO_mg.L,val,0,rnn,6,1,200
0.59197,0.957956,0.594344,0.722352,inf,0.081616,0.046487,0.324817,0.387741,0.147425,,0.974864,DO_mg.L,train,0,rnn,6,2,200
1.878174,0.64082,1.374273,2.075305,inf,0.658921,-0.997558,1.527964,-3.281822,-7082.364028,,0.755024,DO_mg.L,val,0,rnn,6,2,200
0.466912,0.974924,0.49879,0.517505,inf,-0.062745,-0.25037,0.097603,0.580275,0.4677,,0.973483,DO_mg.L,train,0,rnn,7,1,200
