Depth_m_idx,rmse,nse,rmse_top10,rmse_bot10,rmse_logged,mean_bias,mean_bias_top10,mean_bias_bot10,nse_top10,nse_bot10,nse_logged,kge,variable,partition,rep_id,model
9.5,0.97645,0.89602,1.146837,,inf,-0.004202,-0.710721,,-6.281465,,,0.908472,DO_mg.L,train,3,rnn
10.0,0.973634,0.899086,1.16672,,inf,-0.017971,-0.715866,,-6.12383,,,0.91574,DO_mg.L,train,3,rnn
0.0,0.992556,0.673853,1.629339,1.062967,0.122528,-0.01252,-1.474642,0.572263,-3.671555,0.163632,0.744922,0.769865,DO_mg.L,train,4,rnn
0.5,0.9438,0.738854,1.873053,0.981289,0.115968,-0.055596,-1.624884,0.592475,-4.637506,0.308467,0.800798,0.770922,DO_mg.L,train,4,rnn
1.0,0.902442,0.760011,1.650222,1.016255,0.114651,0.02202,-1.412252,0.644706,-4.619699,0.228185,0.812097,0.784891,DO_mg.L,train,4,rnn
1.5,0.880214,0.769891,1.548932,1.019962,0.114956,0.075903,-1.282896,0.67332,-4.479469,0.22072,0.818283,0.794274,DO_mg.L,train,4,rnn
2.0,0.888583,0.764398,1.507051,1.09988,0.118335,0.11653,-1.222844,0.726775,-4.075824,0.024325,0.810121,0.794803,DO_mg.L,train,4,rnn
2.5,0.869908,0.780825,1.544415,1.092014,0.117011,0.068559,-1.247521,0.708008,-4.439696,-0.050124,0.821266,0.802405,DO_mg.L,train,4,rnn
3.0,0.875325,0.774741,1.586229,1.060508,0.116517,-0.033254,-1.280478,0.595698,-4.142125,-0.101119,0.814677,0.810076,DO_mg.L,train,4,rnn
3.5,0.904087,0.766969,1.491888,1.21308,inf,-0.022118,-1.174028,0.666811,-3.961451,-0.557438,,0.820244,DO_mg.L,train,4,rnn
4.0,0.927341,0.771987,1.276422,1.345625,inf,0.035856,-0.945387,0.704639,-4.132099,-1.018945,,0.833973,DO_mg.L,train,4,rnn
4.5,0.967138,0.79125,1.136579,1.629241,inf,0.036696,-0.822107,0.903482,-4.811387,-1.921292,,0.842482,DO_mg.L,train,4,rnn
5.0,1.090011,0.76728,1.097076,1.942985,inf,0.020665,-0.803966,1.092199,-6.272846,-1.807523,,0.835613,DO_mg.L,train,4,rnn
5.5,1.152403,0.770682,1.439805,1.863514,inf,-0.049383,-1.153595,1.123063,-16.041293,-1.709494,,0.819106,DO_mg.L,train,4,rnn
6.0,1.218991,0.7758,1.666765,1.917614,inf,-0.079125,-1.262288,1.316327,-32.008381,-2.602243,,0.804007,DO_mg.L,train,4,rnn
6.5,1.205066,0.79571,1.67852,1.569018,inf,0.049259,-1.190708,1.147199,-30.642902,-6.461379,,0.827311,DO_mg.L,train,4,rnn
7.0,1.172333,0.819762,1.368849,1.197895,inf,0.124569,-0.880773,0.880281,-15.886488,-712.39982,,0.847129,DO_mg.L,train,4,rnn
7.5,1.177433,0.824335,0.980264,1.192447,inf,0.153393,-0.603863,0.749725,-5.496902,-9839.679263,,0.860328,DO_mg.L,train,4,rnn
8.0,1.055642,0.864367,0.956927,1.236474,inf,0.020026,-0.562725,0.745582,-4.355156,-1902053.974754,,0.895935,DO_mg.L,train,4,rnn
8.5,1.024353,0.876701,1.110161,,inf,-0.021857,-0.609876,,-5.982844,,,0.903816,DO_mg.L,train,4,rnn
9.0,0.984558,0.890285,0.989403,,inf,-0.018791,-0.582475,,-5.206252,,,0.910765,DO_mg.L,train,4,rnn
9.5,0.981856,0.894866,0.981458,,inf,-0.026767,-0.629604,,-4.332837,,,0.908955,DO_mg.L,train,4,rnn
10.0,0.987128,0.896269,0.993912,,inf,-0.038176,-0.696548,,-4.169823,,,0.905439,DO_mg.L,train,4,rnn
0.0,0.981621,0.680999,1.539885,1.172818,0.123805,-0.003361,-1.357827,0.735304,-3.172684,-0.018167,0.73958,0.7686,DO_mg.L,train,5,rnn
0.5,0.985638,0.715189,1.851731,1.108322,0.12219,-0.012031,-1.557994,0.743551,-4.509887,0.117833,0.77885,0.758394,DO_mg.L,train,5,rnn
1.0,0.949132,0.734536,1.606667,1.107238,0.121264,0.067829,-1.330425,0.720275,-4.326971,0.083801,0.789795,0.778029,DO_mg.L,train,5,rnn
1.5,0.928709,0.743837,1.486571,1.127816,0.121515,0.120476,-1.172074,0.738843,-4.047138,0.047198,0.796957,0.793982,DO_mg.L,train,5,rnn
2.0,0.946759,0.732538,1.452052,1.21907,0.125716,0.163835,-1.109396,0.766431,-3.712107,-0.198594,0.785697,0.797514,DO_mg.L,train,5,rnn
2.5,0.931575,0.74865,1.498294,1.246474,0.124826,0.10501,-1.150216,0.730974,-4.119658,-0.368203,0.796593,0.808404,DO_mg.L,train,5,rnn
3.0,0.939518,0.74049,1.585043,1.124441,0.123554,-0.004665,-1.229253,0.588962,-4.134438,-0.237882,0.791616,0.812355,DO_mg.L,train,5,rnn
3.5,0.979679,0.726372,1.518887,1.410814,inf,-0.013158,-1.16715,0.732856,-4.142653,-1.106546,,0.809092,DO_mg.L,train,5,rnn
