Depth_m,Temp_C,datetime,DO_mg.L
7.5,18.538,2019-04-26T08:00:00Z,8.546
8,18.56,2019-04-26T08:00:00Z,8.54
8.5,18.55,2019-04-26T08:00:00Z,8.539
9,18.414,2019-04-26T08:00:00Z,8.087
9.5,18.272,2019-04-26T08:00:00Z,7.897
10,17.766,2019-04-26T08:00:00Z,6.921
0,20.635,2019-04-26T10:00:00Z,11.451
0.5,20.743,2019-04-26T10:00:00Z,11.499
1,20.748,2019-04-26T10:00:00Z,11.451
1.5,20.656,2019-04-26T10:00:00Z,11.454
2,20.116,2019-04-26T10:00:00Z,10.867
2.5,20.047,2019-04-26T10:00:00Z,10.857
3,19.918,2019-04-26T10:00:00Z,10.728
3.5,19.996,2019-04-26T10:00:00Z,10.728
4,19.937,2019-04-26T10:00:00Z,10.725
4.5,19.834,2019-04-26T10:00:00Z,10.525
5,19.777,2019-04-26T10:00:00Z,10.58
5.5,19.685,2019-04-26T10:00:00Z,10.58
6,19.818,2019-04-26T10:00:00Z,10.452
6.5,19.733,2019-04-26T10:00:00Z,10.442
7,19.704,2019-04-26T10:00:00Z,10.291
7.5,18.739,2019-04-26T10:00:00Z,8.772
8,18.615,2019-04-26T10:00:00Z,8.408
8.5,18.511,2019-04-26T10:00:00Z,8.405
9,18.388,2019-04-26T10:00:00Z,8.093
9.5,18.126,2019-04-26T10:00:00Z,7.218
10,17.964,2019-04-26T10:00:00Z,7.223
0,20.372,2019-04-26T12:00:00Z,11.068
0.5,20.262,2019-04-26T12:00:00Z,11.102
1,20.034,2019-04-26T12:00:00Z,10.591
1.5,19.968,2019-04-26T12:00:00Z,10.516
2,19.976,2019-04-26T12:00:00Z,10.451
2.5,19.98,2019-04-26T12:00:00Z,10.314
3,19.851,2019-04-26T12:00:00Z,10.252
3.5,19.821,2019-04-26T12:00:00Z,10.253
4,19.838,2019-04-26T12:00:00Z,10.254
4.5,19.847,2019-04-26T12:00:00Z,10.249
5,19.832,2019-04-26T12:00:00Z,10.185
5.5,19.509,2019-04-26T12:00:00Z,10.041
6,19.522,2019-04-26T12:00:00Z,9.968
6.5,19.535,2019-04-26T12:00:00Z,9.894
7,19.554,2019-04-26T12:00:00Z,9.888
7.5,19.268,2019-04-26T12:00:00Z,9.244
8,18.717,2019-04-26T12:00:00Z,8.565
8.5,18.51,2019-04-26T12:00:00Z,8.331
9,18.429,2019-04-26T12:00:00Z,8.182
9.5,18.272,2019-04-26T12:00:00Z,7.801
10,18.074,2019-04-26T12:00:00Z,7.259
0,19.765,2019-04-26T14:00:00Z,10.5
