Date,Time,Site,Station_ID,Depth_TMB,Depth_m,Comments,chla_ug.L,TSS_mg.L,VSS_mg.L,TDS_mg.L,NH4_mg.L,Nox_mg.L,TKN_mg.L,TP_mg.L,DOPO4_mg.L,TOC_mg.L,DOC_mg.L,Alkalinity_mg.L,Cl_mg.L,SO4_mg.L,Tfe_ug.L,TMn_ug.L,DMn_ug.L,Ca_mg.L,Mg_mg.L,Na_mg.L,K_mg.L,As_ug.L,Tsi_mg.L,Dsi_mg.L,Algae_cells.mL,Br_mg.L,Ecoli_MPN,FecalCol.100mL,TTHMFP_uM,Dfe_ug.L,DMn_ug.L,Pb_ug.L,STKN_mg.L,DTP_mg.L,TOPOO4_mg.L,CBOD5_mg.L,BOD20_mg.L,VSS_mg.L_alt,NO3_mg.L,NO2_mg.L,Si_mg.L,Color_mg.L,pH,SBFP,SolP.P_mg.L
02/17/1993,,RC-02,15169,T,,,10.3,5.4,,187,0.05,0.27,0.63,0.04,0.01,4.43,4.25,108,,,,,,,,,,,,,,,,6,,<20,<10,<5,0.41,,,,,,,,,,,,
02/17/1993,,RC-02,15169,B,,,5.9,7.3,,185,0.06,0.26,0.61,0.05,0.01,4.18,3.93,108,,,,,,,,,,,,,,,,4,,<20,<10,<5,0.36,,,,,,,,,,,,
02/17/1993,,RC-03,11068,T,,,3.9, <4.0,,182,<0.05,0.3,0.46,0.04,0.01,4.91,4.52,108,,,,,,,,,,,,,,,,4,,<20,<10,<5,0.45,,,,,,,,,,,,
02/17/1993,,RC-03,11068,B,,,3.3,6.5,,180,<0.05,0.29,0.49,0.06,0.01,4.73,4.36,108,,,,,,,,,,,,,,,,4,,<20,<10,<5,0.42,,,,,,,,,,,,
02/17/1993,,RC-04,15172,T,,,4.4,16.8,,192,0.15,0.8,0.94,0.15,0.04,6.18,5.38,103,,,,,,,,,,,,,,,,28,,90,<10,<5,0.58,,,,,,,,,,,,
02/17/1993,,RC-04,15172,B,,,7.3,28.2,,191,0.1,0.76,0.83,0.17,0.04,6.14,5.41,103,,,,,,,,,,,,,,,,70,,80,<10,<5,0.55,,,,,,,,,,,,
02/17/1993,,RC-05,15170,T,,,12.2,8.3,,190,<0.05,0.33,0.56,0.06,0.01,4.49,3.85,109,12.7,32.1,,,,45.9,3.23,14.7,4.64,2,,,1720,,,2,<.5,<20,<10,<5,0.42,,,,,,,,,,,,
02/17/1993,,RC-05,15170,M,,,4,8,,187,<0.05,0.36,0.51,0.06,0.01,4.21,4.06,109,12.7,31.1,,,,45,3.27,14.7,4.5,2,,,1700,,,2,<.5,<20,<10,<5,0.41,,,,,,,,,,,,
02/17/1993,,RC-05,15170,B,,,4.9,16.5,,190,0.05,0.38,0.66,0.08,0.01,4.36,4.04,110,12.9,33,,,,48.1,3.31,15.5,4.58,3,,,1500,,,2,<.5,<20,<10,<5,0.46,,,,,,,,,,,,
02/17/1993,,RC-06,15199,T,,,3.6,237,,226,<0.05,0.52,0.89,0.34,0.08,8.45,5.71,125,,,,,,,,,,,,,,,,3100,,260,<10,<5,0.5,,,,,,,,,,,,
02/17/1993,,RC-06,15199,B,,,5.3,304,,242,<0.05,0.47,0.97,0.37,0.06,9.64,6.33,138,,,,,,,,,,,,,,,,3100,,220,<10,<5,0.51,,,,,,,,,,,,
