Depth_m,Temp_C,datetime,DO_mg.L
0.5,10.75,2021-03-25T05:00:00Z,11.254
1,10.938,2021-03-25T05:00:00Z,11.117
1.5,11.125,2021-03-25T05:00:00Z,11.061
2,11.188,2021-03-25T05:00:00Z,10.979
2.5,11.25,2021-03-25T05:00:00Z,10.928
3,11.25,2021-03-25T05:00:00Z,10.829
3.5,11.188,2021-03-25T05:00:00Z,10.886
4,11.312,2021-03-25T05:00:00Z,10.791
4.5,11.25,2021-03-25T05:00:00Z,10.799
5,11.312,2021-03-25T05:00:00Z,10.782
5.5,11.375,2021-03-25T05:00:00Z,10.747
6,11.312,2021-03-25T05:00:00Z,10.693
6.5,10.062,2021-03-25T05:00:00Z,9.034
7,7.219,2021-03-25T05:00:00Z,6.061
7.5,6.625,2021-03-25T05:00:00Z,5.403
8,6.5,2021-03-25T05:00:00Z,5.475
8.5,6.375,2021-03-25T05:00:00Z,4.285
0,10.188,2021-03-25T07:00:00Z,11.267
0.5,8.938,2021-03-25T07:00:00Z,11.373
1,13.25,2021-03-25T07:00:00Z,10.936
1.5,10.562,2021-03-25T07:00:00Z,10.88
2,10.188,2021-03-25T07:00:00Z,10.989
2.5,10.5,2021-03-25T07:00:00Z,10.891
3,10.688,2021-03-25T07:00:00Z,10.999
3.5,10.75,2021-03-25T07:00:00Z,10.878
4,9.875,2021-03-25T07:00:00Z,10.877
4.5,10.688,2021-03-25T07:00:00Z,10.817
5,10.875,2021-03-25T07:00:00Z,10.833
5.5,10.812,2021-03-25T07:00:00Z,10.764
6,11.688,2021-03-25T07:00:00Z,9.975
6.5,8.625,2021-03-25T07:00:00Z,7.11
7,7.719,2021-03-25T07:00:00Z,5.627
7.5,7.125,2021-03-25T07:00:00Z,5.775
8,6.906,2021-03-25T07:00:00Z,5.278
8.5,6.875,2021-03-25T07:00:00Z,5.342
0,11.625,2021-03-25T09:00:00Z,10.632
0.5,11.812,2021-03-25T09:00:00Z,10.551
1,11.75,2021-03-25T09:00:00Z,10.469
1.5,11.688,2021-03-25T09:00:00Z,10.483
2,11.688,2021-03-25T09:00:00Z,10.491
2.5,11.688,2021-03-25T09:00:00Z,10.498
