none,doy,hour_of_day,Depth_m,WaterTemp_C,Cloud_cov_fraction,DewPoint_C,AirTemp_C,Pressure_hPa,WWind_m.s,SWind_m.s,Datetime,val_period,Depth_m_raw,group_number
4.549715679258218,-0.5950900410796975,-0.14292974245870793,-1.3655794530529421,-1.3315461384338632,-0.1238034312123545,-0.48366151418468467,-0.40469422923406073,-0.09929494171210211,0.0821161391178744,-0.075696082973184,2021-08-10 01:00:00,8,5,2
4.549715657417986,-0.5593340896638503,-0.1634348214550122,-1.3598166059756303,-1.3117145606823253,-0.16692756858849261,-0.4323121360122879,-0.38013218709566843,-0.22118017512389204,0.08143808606052304,0.043936650922639736,2021-08-10 03:00:00,8,5,2
4.549715728778615,-0.7294895502246603,-0.16819124154950182,-1.4299258054611421,-0.9767817934611731,-0.14767367620483882,-0.51437519548343,-0.42820066972733806,-0.29167746314758075,-0.13314003878069186,0.3155125741799843,2021-08-10 05:00:00,8,5,2
4.549715735467788,-0.503510322993946,-0.0032834495148642215,-1.4413980990463422,-1.6104028873828027,-0.1635784610837419,-0.36340386037337213,-0.3118948858894757,-0.2303453213446413,0.03451346431448371,0.11777541471596209,2021-08-10 19:00:00,8,5,2
4.549715744117314,-0.5206057907125795,-0.04232331871577555,-1.4861178460553544,-1.5902297192985069,-0.1754591330626113,-0.17509497572895474,-0.33646811675903887,-0.248264152718059,0.016398380326542502,0.12321436640517827,2021-08-10 21:00:00,8,5,2
4.549715709604096,-0.5606554521199747,-0.08668088596613484,-1.410862041502466,-1.5598561787679766,-0.12177894089008497,-0.19410931544051255,-0.311277614219769,-0.24085814520382073,-0.0331411951119778,0.006185710459147217,2021-08-10 23:00:00,8,5,2
4.549715652398793,-0.5677727085738015,-0.136879247431019,-1.326020769766621,-1.4015952602846313,-0.11858575476251762,-0.4109525488793215,-0.36497785178223446,-0.23084005520378317,0.08304832735188006,-0.05233721117606294,2021-08-11 01:00:00,8,5,2
4.549715678300468,-0.6661605017500078,-0.15850592610226888,-1.3006303785403868,-1.3737420573966894,-0.12207386311263269,-0.47854461367810147,-0.41725911478125804,-0.25516330323579195,0.1850865883924352,0.08838624167215427,2021-08-11 03:00:00,8,5,2
4.549715659090362,-0.6443899189098867,-0.14662559761706392,-1.2582578766625085,-1.2586489840048187,-0.13712959243663567,-0.4513522125793311,-0.3486992364983333,-0.2553215068973628,0.019585499549775755,-0.046511664257081725,2021-08-11 05:00:00,8,5,3
4.549715698830237,-0.4925482248978339,0.033146691385867316,-1.4331278160404928,-1.5859746669659793,-0.1306111303785506,-0.23646968777760596,-0.2898015880268951,-0.21334617793359392,-0.0778026474541029,-0.07553109886815564,2021-08-11 19:00:00,8,5,3
